BIN NAME,"BIN & 
SEQ #",DESCRIPTION,MATERIAL,COLOR,"SIZE
(HEIGHT X 
WIDTH",PICTURE,NOTES
"BIRDS / 
INSECTS",,BEE,METAL,SILVER,"2"" X 2.75""",,
"BIRDS / 
INSECTS",,BIRD,METAL,SILVER,"2.75"" X 4""",,
"BIRDS / 
INSECTS",,BIRD / PEEP / CHICK,METAL,SILVER,"2.5"" X 3.25""",,
"BIRDS / 
INSECTS",,BUTTERFLY,METAL,SILVER,"2.75"" X 3""",,
"BIRDS / 
INSECTS",,BUTTERFLY,METAL,SILVER,"2.25"" X 3""",,
"BIRDS / 
INSECTS",,BUTTERFLY,PLASTIC,YELLOW,"3"" X 3.5""",,
"BIRDS / 
INSECTS",,BUTTERFLY,METAL,SILVER,"3"" X 4.5""",,
"BIRDS / 
INSECTS",,BUTTERFLY,METAL,LIGHT BLUE,"2.75"" X 3.5""",,
"BIRDS / 
INSECTS",,CARDINAL,METAL,SILVER,"3.75"" X 4""",,
"BIRDS / 
INSECTS",,CATERPILLAR,PLASTIC,GREEN,"3.5"" X 5.25""",,
"BIRDS / 
INSECTS",,CHICK,METAL,SILVER,"2.75"" X 2.75""",,
"BIRDS / 
INSECTS",,CHICK / PEEP,METAL,SILVER,"2.5"" X 2.25""",,
"BIRDS / 
INSECTS",,CHICKEN / HEN,METAL,SILVER,"3.5"" X 3""",,
"BIRDS / 
INSECTS",,PENQUIN,METAL,SILVER,"4"" X 3.75""",,
"BIRDS / 
INSECTS",,DOVE,METAL,SILVER,"3"" X 3.5""",,
"BIRDS / 
INSECTS",,DOVE,METAL,SILVER,"2"" X 3.5""",,
"BIRDS / 
INSECTS",,DUCK,METAL,SILVER,"2.75"" X 3.25""",,
"BIRDS / 
INSECTS",,DUCK,METAL,SILVER,"3"" X 3.25""",,
"BIRDS / 
INSECTS",,DUCKLING,PLASTIC,RED,"3"" X 2.5""",,
"BIRDS / 
INSECTS",,EAGLE,METAL,SILVER,"2.75"" X 4.25""",,
"BIRDS / 
INSECTS",,FLAMINGO,METAL,SILVER,"2.5"" X 4""",,
"BIRDS / 
INSECTS",,FLAMINGO,METAL,SILVER,"4.25"" X 3""",,
"BIRDS / 
INSECTS",,HUMMINGBIRD,METAL,SILVER,"2.25"" X 3""",,
"BIRDS / 
INSECTS",,OWL,METAL,SILVER,"3.5"" X 3""",,
"BIRDS / 
INSECTS",,OWL,METAL,SILVER,"3.25"" X 3""",,
"BIRDS / 
INSECTS",,PEACOCK,METAL,SILVER,"3.75"" X 3.75""",,
"BIRDS / 
INSECTS",,ROOSTER,METAL,SILVER,"4"" X 3.5""",,
"BIRDS / 
INSECTS",,ROOSTER,METAL,SILVER,"3"" X 3""",,
