"bin_name","quantity","keywords","height","width","material","color","accent","notes","img"
"BIRDS / INSECTS",1,"bee",2,2.75,"metal","silver","","","2_bee"
"BIRDS / INSECTS",1,"bird",2.75,4,"metal","silver","","","3_bird"
"BIRDS / INSECTS",1,"bird, peep, chick",2.5,3.25,"metal","silver","","","4_bird"
"BIRDS / INSECTS",1,"butterfly",2.75,3,"metal","silver","","","5_butterfly"
"BIRDS / INSECTS",1,"butterfly",2.25,3,"metal","silver","","","6_butterfly"
"BIRDS / INSECTS",1,"butterfly",3,3.5,"plastic","yellow","","","7_butterfly"
"BIRDS / INSECTS",1,"butterfly",3,4.5,"metal","silver","","","8_butterfly"
"BIRDS / INSECTS",1,"butterfly",2.75,3.5,"metal","light blue","","","9_butterfly"
"BIRDS / INSECTS",1,"cardinal",3.75,4,"metal","silver","","","10_cardinal"
"BIRDS / INSECTS",1,"caterpillar",3.5,5.25,"plastic","green","","","11_caterpillar"
"BIRDS / INSECTS",1,"chick",2.75,2.75,"metal","silver","","","12_chick"
"BIRDS / INSECTS",1,"chick, peep",2.5,2.25,"metal","silver","","","13_chick"
"BIRDS / INSECTS",1,"chicken, hen",3.5,3,"metal","silver","","","14_chicken"
"BIRDS / INSECTS",1,"penquin",4,3.75,"metal","silver","","","15_penquin"
"BIRDS / INSECTS",1,"dove",3,3.5,"metal","silver","","","16_dove"
"BIRDS / INSECTS",1,"dove",2,3.5,"metal","silver","","","17_dove"
"BIRDS / INSECTS",1,"duck",2.75,3.25,"metal","silver","","","18_duck"
"BIRDS / INSECTS",1,"duck",3,3.25,"metal","silver","","","19_duck"
"BIRDS / INSECTS",1,"duckling",3,2.5,"plastic","red","","","20_duckling"
"BIRDS / INSECTS",1,"eagle",2.75,4.25,"metal","silver","","","21_eagle"
"BIRDS / INSECTS",1,"flamingo",2.5,4,"metal","silver","","","22_flamingo"
"BIRDS / INSECTS",1,"flamingo",4.25,3,"metal","silver","","","23_flamingo"
"BIRDS / INSECTS",1,"hummingbird",2.25,3,"metal","silver","","","24_hummingbird"
"BIRDS / INSECTS",1,"owl",3.5,3,"metal","silver","","","25_owl"
"BIRDS / INSECTS",1,"owl",3.25,3,"metal","silver","","","26_owl"
"BIRDS / INSECTS",1,"peacock",3.75,3.75,"metal","silver","","","27_peacock"
"BIRDS / INSECTS",1,"rooster",4,3.5,"metal","silver","","","28_rooster"
"BIRDS / INSECTS",1,"rooster",3,3,"metal","silver","","","29_rooster"
"BIRDS / INSECTS",1,"rooster",2.75,2.5,"metal","silver","","","30_rooster"
"BIRDS / INSECTS",2,"rooster",4,3.5,"metal","silver","","","31_rooster"
"BIRDS / INSECTS",1,"seagull",3,3.5,"metal","silver","","","32_seagull"
"BIRDS / INSECTS",1,"turkey",3.75,3.75,"metal","silver","","","33_turkey"
"CARS / TRUCKS",1,"airplane",3.25,3.5,"metal","blue","","","34_airplane"
"CARS / TRUCKS",1,"airplane",4.25,4,"metal","silver","","","35_airplane"
"CARS / TRUCKS",1,"airplane",3,2.75,"metal","silver","","","36_airplane"
"CARS / TRUCKS",1,"boat anchor",4.25,4.25,"metal","silver","","","37_boat_anchor"
"CARS / TRUCKS",1,"car",1.75,4.75,"metal","silver","","police car","38_car"
"CARS / TRUCKS",1,"car",2,4.75,"metal","silver","","police car","39_car"
"CARS / TRUCKS",1,"car",3.25,4.75,"metal","silver","","","40_car"
"CARS / TRUCKS",1,"car",1.75,4.25,"metal","red","","sports car","41_car"
"CARS / TRUCKS",1,"construction vehicle",2,3.5,"plastic","white","","","42_construction_vehicle"
"CARS / TRUCKS",1,"construction vehicle",2.25,3.25,"plastic","white","","front end loader","43_construction_vehicle"
"CARS / TRUCKS",1,"construction vehicle",2.5,3.25,"plastic","white","","tow truck","44_construction_vehicle"
"CARS / TRUCKS",1,"construction vehicle",3.25,4.5,"metal","silver","","bulldozer","45_construction_vehicle"
"CARS / TRUCKS",1,"construction vehicle",2.5,3.25,"plastic","white","","","46_construction_vehicle"
"CARS / TRUCKS",1,"construction vehicle",2.25,3.25,"plastic","white","","","47_construction_vehicle"
"CARS / TRUCKS",1,"dump truck",2.5,4.75,"metal","silver","","","48_dump_truck"
"CARS / TRUCKS",1,"hot air balloon",4.5,3.5,"metal","silver","","","49_hot_air_balloon"
"CARS / TRUCKS",1,"lighthouse",4.75,2.5,"metal","silver","","","50_lighthouse"
"CARS / TRUCKS",1,"motorcycle",2.75,5,"metal","silver","","","51_motorcycle"
"CARS / TRUCKS",1,"pickup truck",2.5,4.5,"metal","silver","","","52_pickup_truck"
"CARS / TRUCKS",1,"planet",2,3.25,"metal","silver","","","53_planet"
"CARS / TRUCKS",1,"sailboat",3.5,2.5,"metal","silver","","","54_sailboat"
"CARS / TRUCKS",1,"school bus",2.5,3.75,"plastic","grey","","","55_school_bus"
"CARS / TRUCKS",1,"spaceship",3.5,2.25,"metal","silver","","","56_spaceship"
"CARS / TRUCKS",1,"spaceship",3.25,2.5,"metal","silver","","","57_spaceship"
"CARS / TRUCKS",1,"steam roller",2.5,3.25,"metal","silver","","","58_steam_roller"
"CARS / TRUCKS",1,"tractor",3.25,4.25,"metal","silver","","","59_tractor"
"CARS / TRUCKS",1,"train locomotive",2.25,3.5,"metal","silver","","","60_train_locomotive"
"CARS / TRUCKS",1,"truck",2.25,3.5,"plastic","white","","delivery truck","61_truck"
"CARS / TRUCKS",1,"truck",2.25,3.25,"plastic","white","","delivery truck","62_truck"
"CARS / TRUCKS",1,"truck",2.5,4.5,"metal","silver","","","63_truck"
"CARS / TRUCKS",1,"ufo, flying saucer ",1.75,3.5,"metal","silver","","","64_ufo"
"CLOTHES / SHOES",1,"baby onesie",3,3,"metal","yellow","","","65_baby_onesie"
"CLOTHES / SHOES",1,"baseball jersey",3.25,3.75,"plastic","blue","","","66_baseball_jersey"
"CLOTHES / SHOES",1,"basketball jersey",4.5,2.75,"metal","silver","","","67_basketball_jersey"
"CLOTHES / SHOES",1,"basketball jersey",3.5,2.5,"metal","silver","","","68_basketball_jersey"
"CLOTHES / SHOES",1,"basketball jersey",3.75,3,"metal","silver","","","69_basketball_jersey"
"CLOTHES / SHOES",1,"bow tie",2,3.5,"metal","silver","","","70_bow_tie"
"CLOTHES / SHOES",1,"bow tie, hair bow",2,3.5,"metal","light blue","","","71_bow_tie"
"CLOTHES / SHOES",1,"boy's outfit (t-shirt & shorts set)",3,3.25,"metal","silver","","","72_boy's_outfit_(t-shirt_&_shorts_set)"
"SPECIAL OCCASIONS",1,"cowboy boot with flowers",4,3.5,"plastic","purple","","","73_cowboy_boot_with_flowers"
"CLOTHES / SHOES",1,"cowboy boot",3.5,3,"plastic","brown","","","74_cowboy_boot"
"CLOTHES / SHOES",1,"cowboy hat",2,3.5,"plastic","brown","","","75_cowboy_hat"
"CLOTHES / SHOES",1,"crown",2,3,"plastic","light blue","","","76_crown"
"CLOTHES / SHOES",1,"crown",2,3.5,"metal","white","","","77_crown"
"CLOTHES / SHOES",1,"dress",3.5,2.75,"metal","white","","","78_dress"
"CLOTHES / SHOES",1,"flip flop",4.5,2.5,"metal","silver","","","79_flip_flop"
"CLOTHES / SHOES",1,"flip flop",3.25,2.75,"metal","light blue","","","80_flip_flop"
"CLOTHES / SHOES",1,"flip flop",3,2.25,"metal","silver","","baby's foot","81_flip_flop"
"CLOTHES / SHOES",1,"girl's dress",3.5,3.5,"metal","silver","","","82_girl's_dress"
"CLOTHES / SHOES",1,"hair bow",2.5,3,"metal","silver","","","83_hair_bow"
"CLOTHES / SHOES",1,"hair bow",4,2.5,"metal","silver","","","84_hair_bow"
"CLOTHES / SHOES",1,"hat",2.5,3.5,"metal","silver","","","85_hat"
"CLOTHES / SHOES",1,"high heel shoe",2.5,3.75,"metal","pink","","","86_high_heel_shoe"
"CLOTHES / SHOES",1,"high heel shoe",3.5,3.5,"metal","silver","","","87_high_heel_shoe"
"CLOTHES / SHOES",2,"lipstick",4,2,"metal","silver","","","88_lipstick"
"CLOTHES / SHOES",2,"men's tie",4,2,"metal","silver","","","89_men's_tie"
"CLOTHES / SHOES",1,"moustache",1.5,4,"metal","silver","","","90_moustache"
"CLOTHES / SHOES",1,"moustache",1.5,4.5,"metal","black","","","91_moustache"
"CLOTHES / SHOES",1,"moustache",2,5,"metal","silver","black","","92_moustache"
"CLOTHES / SHOES",1,"nail polish",3.5,1.5,"metal","silver","","","93_nail_polish"
"CLOTHES / SHOES",1,"nurse hat",2.5,4,"metal","silver","","","94_nurse_hat"
"CLOTHES / SHOES",1,"pajamas, pj's",4.5,4.25,"metal","silver","","","95_pajamas"
"CLOTHES / SHOES",1,"pocketbook",4,4,"metal","silver","","","96_pocketbook"
"CLOTHES / SHOES",1,"shirt",3.5,3.5,"metal","silver","","nurse or doctor scrubs or t-shirt","97_shirt"
"CLOTHES / SHOES",1,"sneaker",3.25,5,"metal","copper","","","98_sneaker"
"CLOTHES / SHOES",2,"sneaker",2,4,"metal","silver","","","99_sneaker"
"CLOTHES / SHOES",1,"soccer, football jersey",3,3.25,"metal","white","","","100_soccer"
"CLOTHES / SHOES",1,"sock",4.5,3,"plastic","pink","","","101_sock"
"CLOTHES / SHOES",1,"sunglasses",1.5,3.75,"metal","silver","","","102_sunglasses"
"CLOTHES / SHOES",1,"sunglasses",2,4,"metal","silver","","","103_sunglasses"
"CLOTHES / SHOES",1,"sunglasses",1.5,3.75,"metal","orange","","","104_sunglasses"
"CLOTHES / SHOES",2,"sweater",3,4.25,"metal","silver","","","105_sweater"
"CLOTHES / SHOES",1,"wedding dress",4,3.75,"metal","silver","","","106_wedding_dress"
"CLOTHES / SHOES",1,"winter hat",3,3.75,"metal","silver","","","107_winter_hat"
"CLOTHES / SHOES",1,"winter hat",3.25,3.25,"metal","silver","","","108_winter_hat"
"CLOTHES / SHOES",1,"winter mitten",4,3.5,"metal","silver","","","109_winter_mitten"
"DINOSAURS / UNICORNS",1,"dinosaur",3.5,3.5,"metal","silver","","brontosaurus","110_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",2,4.25,"metal","silver","","pterodactyl","111_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",4.25,5.25,"metal","copper","","brachiosaurus","112_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",1.75,4,"metal","silver","","triceratops","113_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",2.5,3.75,"metal","silver","","t-rex","114_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",2.5,3.5,"metal","silver","","brontosaurus ","115_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",3,3,"metal","silver","","t-rex","116_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",3,3,"metal","silver","","","117_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",1.5,4,"metal","silver","","","118_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",4,5.5,"plastic","white","","parasaurolophus","119_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",2.25,3.25,"plastic","light blue","","stegosaurus","120_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",3.75,5,"metal","silver","","brontosaurus","121_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur",2.75,5,"metal","silver","","stegosaurus","122_dinosaur"
"DINOSAURS / UNICORNS",1,"dinosaur footprint",3.25,3,"metal","silver","","","123_dinosaur_footprint"
"DINOSAURS / UNICORNS",1,"dinosaur footprint",4,3.25,"metal","silver","","","124_dinosaur_footprint"
"DINOSAURS / UNICORNS",1,"magical wand",2.75,1.75,"metal","yellow","","","125_magical_wand"
"DINOSAURS / UNICORNS",1,"unicorn",3.5,3,"metal","pink","","","126_unicorn"
"DINOSAURS / UNICORNS",1,"unicorn",3.25,4.5,"metal","silver","","","127_unicorn"
"DINOSAURS / UNICORNS",1,"unicorn",4,3.5,"metal","silver","","","128_unicorn"
"DINOSAURS / UNICORNS",1,"unicorn",4,2.75,"metal","silver","","","129_unicorn"
"DINOSAURS / UNICORNS",1,"unicorn",3.5,2.25,"plastic","light blue","","","130_unicorn"
"DISNEY / STAR WARS / ETC.",1,"avengers symbol",4.25,3.75,"plastic","blue","","","131_avengers_symbol"
"DISNEY / STAR WARS / ETC.",1,"baby yoda",3.5,3.5,"plastic","green","","","132_baby_yoda"
"DISNEY / STAR WARS / ETC.",1,"batman",4,3.5,"plastic","red","","","133_batman"
"DISNEY / STAR WARS / ETC.",1,"batman lego set",4.5,2,"plastic","red","","","134_batman_lego_set"
"DISNEY / STAR WARS / ETC.",1,"batman logo",1.5,3,"plastic","red","","","135_batman_logo"
"DISNEY / STAR WARS / ETC.",1,"batman logo - 3 piece nested set",1.25,2.25,"plastic","red","","","136_batman_logo_-_3_piece_nested_set"
"DISNEY / STAR WARS / ETC.",1,"captain america shield",3.5,3.5,"plastic","red","","","137_captain_america_shield"
"DISNEY / STAR WARS / ETC.",1,"chewbacca",3.5,3,"plastic stamp","brown","","","138_chewbacca"
"DISNEY / STAR WARS / ETC.",1,"death lord (guardians of the galaxy)",4,3,"plastic","dark grey","","","139_death_lord_(guardians_of_the_galaxy)"
"DISNEY / STAR WARS / ETC.",1,"death star",3,3,"plastic stamp","light grey","","","140_death_star"
"DISNEY / STAR WARS / ETC.",1,"doctor strange",2.5,3.5,"plastic","yellow","","","141_doctor_strange"
"DISNEY / STAR WARS / ETC.",1,"green lantern (marvel)",3.5,3.5,"plastic","black","","","142_green_lantern_(marvel)"
"DISNEY / STAR WARS / ETC.",1,"hulk fist",4,3.25,"plastic","green","","","143_hulk_fist"
"DISNEY / STAR WARS / ETC.",1,"iron man",4,2.5,"plastic","red","","","144_iron_man"
"DISNEY / STAR WARS / ETC.",1,"ironman",3,1.5,"plastic","red","","","145_ironman"
"DISNEY / STAR WARS / ETC.",1,"lego",4.5,2.5,"plastic","red","","","146_lego"
"DISNEY / STAR WARS / ETC.",1,"lol doll",2.75,3.75,"plastic","pink","","","147_lol_doll"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse",2.5,3,"metal","red","","","148_mickey_mouse"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse",3,4,"metal","silver","","","149_mickey_mouse"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse",2.5,3,"metal","black","","","150_mickey_mouse"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse",2,2.5,"metal","silver","","","151_mickey_mouse"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse",2.5,3,"metal","silver","","","152_mickey_mouse"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse",3.5,4,"metal","silver","","","153_mickey_mouse"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse - profile of head",2.5,3,"metal","silver","","","154_mickey_mouse_-_profile_of_head"
"DISNEY / STAR WARS / ETC.",2,"mickey mouse",3.5,4,"metal","silver","orange","","155_mickey_mouse"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse (with hand pointing upward)",3.5,2.5,"metal","silver","","","156_mickey_mouse_(with_hand_pointing_upward)"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse boot",2.5,3.5,"metal","silver","","","157_mickey_mouse_boot"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse hand",3.5,3.5,"metal","silver","","","158_mickey_mouse_hand"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse hand",2.5,3,"metal","silver","","","159_mickey_mouse_hand"
"DISNEY / STAR WARS / ETC.",1,"mickey mouse pants",3,3,"metal","silver","","","160_mickey_mouse_pants"
"DISNEY / STAR WARS / ETC.",1,"millenium falcon",2.5,4,"plastic stamp","light tan","","","161_millenium_falcon"
"DISNEY / STAR WARS / ETC.",1,"minnie mouse",3.5,3.5,"metal","silver","","","162_minnie_mouse"
"DISNEY / STAR WARS / ETC.",1,"minnie mouse bow",3,3.5,"metal","silver","","","163_minnie_mouse_bow"
"DISNEY / STAR WARS / ETC.",1,"minnie mouse bow",2,3.5,"metal","pink","","","164_minnie_mouse_bow"
"DISNEY / STAR WARS / ETC.",1,"play station",2,3,"plastic","red","","","165_play_station"
"DISNEY / STAR WARS / ETC.",1,"r2-d2",4.5,3,"plastic","orange","","","166_r2-d2"
"DISNEY / STAR WARS / ETC.",1,"r2-d2",4,2.5,"plastic","orange","","","167_r2-d2"
"DISNEY / STAR WARS / ETC.",1,"sesame street cookie monster",3,3,"metal","blue","","","168_sesame_street_cookie_monster"
"DISNEY / STAR WARS / ETC.",1,"sesame street elmo",3,3,"metal","red","","","169_sesame_street_elmo"
"DISNEY / STAR WARS / ETC.",1,"snoopy",3.5,2.5,"metal","silver","","","170_snoopy"
"DISNEY / STAR WARS / ETC.",1,"snoopy",3,2,"metal","silver","","","171_snoopy"
"DISNEY / STAR WARS / ETC.",1,"spiderman",3,2,"plastic","red","","","172_spiderman"
"DISNEY / STAR WARS / ETC.",1,"spiderman",3.75,3,"plastic","blue","","","173_spiderman"
"DISNEY / STAR WARS / ETC.",1,"thor's hammer",4,2.75,"plastic","white","","","174_thor's_hammer"
"DISNEY / STAR WARS / ETC.",1,"troll",4.25,3.25,"plastic","red","","","175_troll"
"DISNEY / STAR WARS / ETC.",1,"troll",4.25,2.75,"plastic","red","","","176_troll"
"DISNEY / STAR WARS / ETC.",1,"winnie the pooh",3.5,3,"plastic","yellow","","","177_winnie_the_pooh"
"DISNEY / STAR WARS / ETC.",1,"winnie the pooh''s honey pot",3.5,3,"plastic","yellow","","","178_winnie_the_pooh''s_honey_pot"
"DISNEY / STAR WARS / ETC.",1,"winnie the pooh''s honey pot",3,2.5,"plastic","gold","","","179_winnie_the_pooh''s_honey_pot"
"DISNEY / STAR WARS / ETC.",1,"x-box",2.5,3.25,"plastic","red","","","180_x-box"
"DISNEY / STAR WARS / ETC.",1,"pokemon - assorted characters",3.5,3,"metal","silver","","","181_pokemon_-_assorted_characters"
"DISNEY / STAR WARS / ETC.",1,"pokemon - assorted characters",3.5,3,"metal","silver","","","182_pokemon_-_assorted_characters"
"DISNEY / STAR WARS / ETC.",1,"pokemon - assorted characters",3.5,3,"metal","silver","","","183_pokemon_-_assorted_characters"
"DOGS / CATS",1,"bingo face (dog)",3.75,3,"plastic","brown","","","184_bingo_face_(dog)"
